,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR
306,60,65,60,70,45,40,70,40,1729,1729,2,1228290,10252,8668,1,3,7.0,19.0,3.0,11.0,2.9,3.4,2.4,1,1,2,2,0,0,1,1,0,1,2,1,2,1,1,0,0
307,70,60,70,65,75,65,65,50,1729,1729,2,1228292,8650,8456,2,2,15.0,11.0,8.0,5.0,3.1,3.4,2.3,3,1,1,2,1,0,1,1,1,2,1,0,2,2,1,0,1
308,48,45,38,62,54,38,38,62,1729,1729,2,1228293,10260,9879,3,2,20.0,14.0,11.0,11.0,1.29,5.5,11.0,3,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,2
309,49,61,55,58,37,39,44,52,1729,1729,2,1228297,8472,9798,3,0,16.0,12.0,11.0,5.0,2.0,3.5,3.75,1,0,0,0,0,0,1,1,0,2,2,1,2,2,1,0,2
310,67,38,41,61,68,39,41,46,1729,1729,20,1229308,8668,8455,1,2,12.0,15.0,6.0,10.0,2.88,3.3,2.5,2,2,2,1,1,1,1,1,0,2,1,1,2,2,1,0,0
311,43,51,59,50,55,47,45,49,1729,1729,21,1229318,8650,8472,3,0,27.0,6.0,16.0,5.0,1.4,4.5,8.5,2,2,2,1,0,1,1,1,0,2,2,1,2,2,1,0,2
312,66,30,30,45,35,30,40,50,1729,1729,21,1229323,8466,9825,1,1,9.0,6.0,6.0,4.0,5.0,3.75,1.7,1,1,0,2,0,0,2,0,2,2,2,0,0,2,1,0,1
313,70,60,70,65,75,65,65,50,1729,1729,22,1229329,9825,8456,0,2,9.0,16.0,4.0,9.0,2.63,3.5,2.8,2,1,3,3,1,0,1,1,1,2,1,0,2,2,1,0,0
314,47,52,54,56,60,48,52,44,1729,1729,22,1229330,10252,8466,0,1,16.0,11.0,10.0,4.0,2.55,3.5,2.9,1,0,2,2,0,0,1,1,0,2,2,1,2,2,1,0,0
315,39,44,42,34,54,59,52,61,1729,1729,22,1229333,10260,8650,2,1,15.0,12.0,10.0,5.0,1.91,3.8,4.2,4,1,0,1,0,0,1,1,0,2,2,1,2,2,1,0,2
316,59,26,28,55,64,51,44,52,1729,1729,23,1229340,8455,9825,2,1,13.0,12.0,8.0,8.0,1.91,3.6,4.0,1,1,4,3,0,1,2,1,2,2,2,0,2,2,1,0,2
317,52,48,39,54,59,29,30,39,1729,1729,23,1229342,8456,9879,2,0,20.0,3.0,11.0,0.0,1.25,6.5,14.0,3,0,1,2,0,1,1,1,0,2,2,1,0,0,1,0,2
318,60,65,60,70,45,40,70,40,1729,1729,23,1229344,8466,8668,0,0,14.0,10.0,11.0,7.0,3.6,3.5,2.05,1,2,1,2,0,0,1,1,0,1,2,1,2,1,1,0,1
319,60,50,40,45,60,55,55,50,1729,1729,24,1229350,9825,8650,2,2,14.0,10.0,6.0,5.0,2.4,3.5,3.1,1,1,3,1,0,0,1,1,0,2,2,1,2,2,1,0,1
320,47,52,54,56,60,48,52,44,1729,1729,24,1229352,10260,8466,2,1,11.0,21.0,7.0,10.0,1.25,6.5,14.0,4,1,0,2,0,0,1,1,0,2,2,1,2,2,1,0,2
321,46,41,46,61,63,42,43,46,1729,1729,24,1229356,9798,8455,2,2,5.0,14.0,2.0,5.0,7.5,4.5,1.5,1,3,0,0,0,0,1,1,0,2,2,1,2,2,1,0,1
322,66,72,63,48,56,39,42,52,1729,1729,25,1229362,8668,10252,3,3,22.0,8.0,13.0,4.0,1.4,5.0,9.0,2,2,1,0,0,0,0,1,0,2,2,1,2,2,1,0,1
323,38,44,49,44,40,54,53,56,1729,1729,25,1229363,9879,10260,0,1,15.0,13.0,8.0,8.0,5.5,4.2,1.65,0,3,3,1,0,1,1,1,0,2,2,1,2,2,1,0,0
324,50,35,50,60,70,40,60,40,1729,1729,25,1229364,8456,8650,2,2,9.0,21.0,5.0,12.0,1.83,3.9,4.5,3,1,1,2,0,0,1,1,0,2,1,1,2,2,1,0,1
325,55,55,55,65,55,45,55,65,1729,1729,25,1229369,9798,8472,2,1,9.0,10.0,5.0,6.0,2.5,3.4,3.0,1,2,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2
326,56,56,48,57,56,50,50,60,1729,1729,26,1229376,10260,8668,2,0,10.0,9.0,6.0,8.0,1.75,3.9,5.0,5,1,0,3,0,0,1,1,0,2,2,1,2,2,1,0,2
327,36,34,39,44,38,42,44,54,1729,1729,26,1229378,8466,8456,3,1,13.0,7.0,7.0,4.0,5.75,4.0,1.67,1,2,2,2,0,0,1,1,0,2,2,0,2,2,1,0,2
328,59,26,28,55,64,51,44,52,1729,1729,26,1229381,8472,9825,0,1,12.0,18.0,7.0,9.0,4.5,3.6,1.91,2,1,0,3,0,1,2,1,2,2,2,0,2,2,1,0,0
