,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR,FTResult
119,55,55,55,65,55,45,55,65,1729,1729,13,839943,8455,8472,0,3,14.0,19.0,7.0,9.0,1.22,5.75,15.0,4,0,0,2,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
120,56,56,48,57,56,50,50,60,1729,1729,14,839947,8472,8668,2,2,13.0,10.0,8.0,8.0,2.6,3.2,2.8,2,1,2,2,0,0,1,1,0,2,2,1,2,2,1,0,1,0
121,36,34,39,44,38,42,44,54,1729,1729,14,839949,9879,8456,1,4,9.0,11.0,3.0,8.0,3.2,3.1,2.4,1,2,1,2,0,0,1,1,0,2,2,0,2,2,1,0,0,-1
122,59,26,28,55,64,51,44,52,1729,1729,15,839957,10252,9825,2,4,6.0,17.0,4.0,10.0,3.4,3.3,2.2,3,2,2,1,0,1,2,1,2,2,2,0,2,2,1,0,0,-1
123,52,48,39,54,59,29,30,39,1729,1729,16,839964,9825,9879,2,1,15.0,11.0,9.0,7.0,1.29,5.25,12.0,4,0,1,1,0,1,1,1,0,2,2,1,0,0,1,0,2,1
124,70,59,65,70,50,30,70,30,1729,1729,16,839965,8650,10252,3,0,12.0,5.0,7.0,2.0,1.62,3.75,6.0,2,2,2,1,1,0,1,1,0,1,2,0,0,1,0,0,2,1
125,65,40,65,65,70,45,45,65,1729,1729,16,839971,8483,10260,2,3,6.0,17.0,4.0,13.0,8.0,5.0,1.36,0,2,1,2,0,0,1,1,0,2,1,0,2,2,1,0,0,-1
126,56,56,48,57,56,50,50,60,1729,1729,16,839973,8455,8668,1,1,12.0,16.0,5.0,7.0,1.36,4.75,9.0,4,1,0,3,0,0,1,1,0,2,2,1,2,2,1,0,1,0
127,30,29,41,55,39,64,54,52,1729,1729,17,839974,10260,9825,1,0,14.0,11.0,10.0,6.0,2.0,3.4,3.8,3,3,1,1,2,0,2,1,0,2,2,0,2,2,1,0,2,1
128,60,61,56,44,58,41,38,53,1729,1729,17,839981,9879,8472,0,0,14.0,11.0,13.0,2.0,2.2,3.25,3.4,1,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,1,0
129,52,48,39,54,59,29,30,39,1729,1729,18,839985,8650,9879,1,0,11.0,12.0,7.0,8.0,1.53,3.8,7.0,3,0,1,0,0,1,1,1,0,2,2,1,0,0,1,0,2,1
130,60,65,60,70,45,40,70,40,1729,1729,18,839987,8456,8668,1,2,25.0,4.0,15.0,3.0,1.73,3.6,5.0,2,1,2,3,0,0,1,1,0,1,2,1,2,1,1,0,0,-1
131,65,40,65,65,70,45,45,65,1729,1729,18,839993,8455,10260,2,1,17.0,12.0,11.0,7.0,2.2,3.2,3.6,3,3,1,2,0,0,1,1,0,2,1,0,2,2,1,0,2,1
132,67,62,44,72,59,47,53,60,1729,1729,19,839994,10260,8472,2,0,14.0,6.0,10.0,2.0,1.29,5.5,11.0,3,1,1,2,1,0,1,1,0,1,2,1,2,2,1,0,2,1
133,46,41,46,61,63,42,43,46,1729,1729,19,839995,9825,8455,3,1,10.0,10.0,8.0,4.0,2.63,3.2,2.75,4,3,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
134,71,32,34,41,61,51,48,62,1729,1729,19,840003,8483,8650,2,1,13.0,10.0,9.0,6.0,3.8,3.75,1.91,0,1,1,1,1,1,2,1,0,2,2,1,2,2,1,0,2,1
135,62,64,59,43,64,39,38,54,1729,1729,2,839824,9825,8483,6,0,26.0,3.0,16.0,1.0,1.17,7.0,19.0,4,0,1,0,0,1,1,1,0,2,2,1,2,2,1,0,2,1
136,50,35,50,60,70,40,60,40,1729,1729,2,839828,8456,8650,3,0,8.0,13.0,3.0,7.0,2.38,3.25,3.1,2,1,1,0,0,0,1,1,0,2,1,1,2,2,1,0,2,1
137,65,40,65,65,70,45,45,65,1729,1729,2,839829,9879,10260,2,2,16.0,14.0,8.0,7.0,6.0,4.0,1.57,1,2,2,2,0,0,1,1,0,2,1,0,2,2,1,0,1,0
138,45,52,60,58,58,49,52,54,1729,1729,20,840005,8472,8483,0,2,32.0,9.0,16.0,4.0,1.62,3.75,6.0,2,0,2,0,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
139,63,59,52,55,34,39,41,54,1729,1729,20,840008,8456,10252,4,0,11.0,9.0,8.0,4.0,1.44,4.2,8.0,3,1,1,1,0,0,1,1,0,2,2,1,2,2,1,0,2,1
140,67,72,70,48,58,39,38,54,1729,1729,21,840059,8456,8483,1,0,15.0,8.0,4.0,6.0,1.29,5.5,10.0,3,1,1,0,1,1,0,1,1,2,2,1,2,2,1,0,2,1
141,63,54,60,48,38,35,44,54,1729,1729,21,840064,8455,10252,3,3,15.0,16.0,10.0,10.0,1.25,5.5,13.0,3,1,1,1,0,1,1,1,0,2,2,1,2,2,1,0,1,0
142,70,60,55,70,70,45,55,45,1729,1729,22,840066,9825,8456,0,0,13.0,5.0,8.0,0.0,1.91,3.6,4.0,4,2,1,2,1,0,1,1,0,1,1,1,2,2,1,0,1,0
143,55,55,55,65,55,45,55,65,1729,1729,22,840070,10252,8472,0,1,8.0,11.0,2.0,5.0,2.2,3.25,3.4,2,1,2,2,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
144,56,56,48,57,56,50,50,60,1729,1729,23,840075,8650,8668,2,2,19.0,10.0,14.0,5.0,2.2,3.2,3.5,4,2,1,3,0,0,1,1,0,2,2,1,2,2,1,0,1,0
