,HomeTeam,AwayTeam
536,sportingcharleroi,sportinglokeren
537,kaseupen,sint-truidensevv
538,kvcwesterlo,kvmechelen
539,ksvcerclebrugge,rscanderlecht
540,rscanderlecht,kvcwesterlo
541,standarddeliege,kaagent
542,sint-truidensevv,sportingcharleroi
543,sportinglokeren,clubbruggekv
544,kvkortrijk,krcgenk
545,kvmechelen,beerschotac
546,liersesk,svzulte-waregem
547,ksvcerclebrugge,kaseupen
548,clubbruggekv,standarddeliege
549,kaagent,kvmechelen
550,krcgenk,rscanderlecht
551,beerschotac,sint-truidensevv
552,svzulte-waregem,sportinglokeren
553,sportingcharleroi,kvkortrijk
554,kaseupen,liersesk
555,kvcwesterlo,ksvcerclebrugge
556,rscanderlecht,clubbruggekv
557,standarddeliege,kaseupen
558,sint-truidensevv,svzulte-waregem
559,kvkortrijk,beerschotac
560,kvmechelen,sportingcharleroi
561,liersesk,sportinglokeren
562,kvcwesterlo,krcgenk
563,ksvcerclebrugge,kaagent
564,clubbruggekv,liersesk
565,kaagent,rscanderlecht
566,krcgenk,ksvcerclebrugge
567,beerschotac,standarddeliege
568,svzulte-waregem,kvkortrijk
569,sportingcharleroi,kvcwesterlo
570,sportinglokeren,sint-truidensevv
571,kaseupen,kvmechelen
572,clubbruggekv,ksvcerclebrugge
573,kaagent,kvcwesterlo
574,beerschotac,rscanderlecht
575,svzulte-waregem,standarddeliege
576,sportingcharleroi,krcgenk
577,sportinglokeren,kvmechelen
578,liersesk,sint-truidensevv
579,kaseupen,kvkortrijk
580,rscanderlecht,sportingcharleroi
581,standarddeliege,liersesk
582,krcgenk,kaagent
583,sint-truidensevv,clubbruggekv
584,kvkortrijk,sportinglokeren
585,kvmechelen,svzulte-waregem
586,kvcwesterlo,kaseupen
587,ksvcerclebrugge,beerschotac
588,clubbruggekv,kvcwesterlo
589,beerschotac,krcgenk
590,sint-truidensevv,kvkortrijk
591,svzulte-waregem,rscanderlecht
592,sportingcharleroi,ksvcerclebrugge
593,sportinglokeren,standarddeliege
594,liersesk,kvmechelen
595,kaseupen,kaagent
596,rscanderlecht,sportinglokeren
597,standarddeliege,sint-truidensevv
598,kaagent,sportingcharleroi
599,krcgenk,kaseupen
600,kvkortrijk,liersesk
601,kvmechelen,clubbruggekv
602,kvcwesterlo,beerschotac
603,ksvcerclebrugge,svzulte-waregem
604,clubbruggekv,sint-truidensevv
605,kaagent,krcgenk
606,beerschotac,ksvcerclebrugge
607,svzulte-waregem,kvmechelen
608,sportingcharleroi,rscanderlecht
609,sportinglokeren,kvkortrijk
610,liersesk,standarddeliege
611,kaseupen,kvcwesterlo
612,clubbruggekv,rscanderlecht
613,beerschotac,kaagent
614,sint-truidensevv,kvmechelen
615,svzulte-waregem,kvcwesterlo
616,sportinglokeren,ksvcerclebrugge
617,kvkortrijk,standarddeliege
618,liersesk,krcgenk
619,kaseupen,sportingcharleroi
620,rscanderlecht,liersesk
621,kaagent,clubbruggekv
622,krcgenk,sint-truidensevv
623,sportingcharleroi,beerschotac
624,kvmechelen,kvkortrijk
625,kaseupen,svzulte-waregem
626,kvcwesterlo,sportinglokeren
627,ksvcerclebrugge,standarddeliege
628,clubbruggekv,sportingcharleroi
629,standarddeliege,kvmechelen
630,beerschotac,kaseupen
631,sint-truidensevv,ksvcerclebrugge
632,svzulte-waregem,kaagent
633,sportinglokeren,krcgenk
634,kvkortrijk,rscanderlecht
635,liersesk,kvcwesterlo
636,rscanderlecht,standarddeliege
637,kaagent,sportinglokeren
638,krcgenk,kvkortrijk
639,beerschotac,svzulte-waregem
640,sportingcharleroi,kvmechelen
641,kaseupen,clubbruggekv
642,kvcwesterlo,sint-truidensevv
643,ksvcerclebrugge,liersesk
644,clubbruggekv,beerschotac
645,standarddeliege,kvcwesterlo
646,sint-truidensevv,kaagent
647,svzulte-waregem,krcgenk
648,sportinglokeren,kaseupen
649,kvkortrijk,ksvcerclebrugge
650,kvmechelen,rscanderlecht
651,liersesk,sportingcharleroi
652,rscanderlecht,sint-truidensevv
653,kaagent,liersesk
654,krcgenk,clubbruggekv
655,beerschotac,sportinglokeren
656,sportingcharleroi,svzulte-waregem
657,kaseupen,standarddeliege
658,kvcwesterlo,kvkortrijk
659,ksvcerclebrugge,kvmechelen
660,clubbruggekv,svzulte-waregem
661,rscanderlecht,ksvcerclebrugge
662,standarddeliege,krcgenk
663,sint-truidensevv,kaseupen
664,sportinglokeren,sportingcharleroi
665,kvkortrijk,kaagent
666,kvmechelen,kvcwesterlo
667,liersesk,beerschotac
668,clubbruggekv,sportinglokeren
669,kaagent,standarddeliege
670,krcgenk,kvmechelen
671,beerschotac,kvkortrijk
672,svzulte-waregem,liersesk
673,sportingcharleroi,sint-truidensevv
674,kaseupen,ksvcerclebrugge
675,kvcwesterlo,rscanderlecht
676,rscanderlecht,krcgenk
677,standarddeliege,clubbruggekv
678,sint-truidensevv,beerschotac
679,sportinglokeren,svzulte-waregem
680,kvkortrijk,sportingcharleroi
681,kvmechelen,kaagent
682,liersesk,kaseupen
683,ksvcerclebrugge,kvcwesterlo
684,clubbruggekv,kvkortrijk
685,kaagent,ksvcerclebrugge
686,krcgenk,kvcwesterlo
687,beerschotac,kvmechelen
688,svzulte-waregem,sint-truidensevv
689,sportingcharleroi,standarddeliege
690,sportinglokeren,liersesk
691,kaseupen,rscanderlecht
692,rscanderlecht,beerschotac
693,standarddeliege,sportinglokeren
694,kaagent,kaseupen
695,krcgenk,sportingcharleroi
696,kvkortrijk,sint-truidensevv
697,kvmechelen,liersesk
698,kvcwesterlo,svzulte-waregem
699,ksvcerclebrugge,clubbruggekv
700,rscanderlecht,kaagent
701,standarddeliege,beerschotac
702,sint-truidensevv,sportinglokeren
703,kvkortrijk,svzulte-waregem
704,kvmechelen,kaseupen
705,liersesk,clubbruggekv
706,kvcwesterlo,sportingcharleroi
707,ksvcerclebrugge,krcgenk
708,clubbruggekv,kvmechelen
709,beerschotac,kvcwesterlo
710,sint-truidensevv,standarddeliege
711,svzulte-waregem,ksvcerclebrugge
712,sportingcharleroi,kaagent
713,sportinglokeren,rscanderlecht
714,liersesk,kvkortrijk
715,kaseupen,krcgenk
716,rscanderlecht,svzulte-waregem
717,standarddeliege,kvkortrijk
718,kaagent,beerschotac
719,krcgenk,liersesk
720,sportingcharleroi,kaseupen
721,kvmechelen,sint-truidensevv
722,kvcwesterlo,clubbruggekv
723,ksvcerclebrugge,sportinglokeren
724,clubbruggekv,krcgenk
725,standarddeliege,ksvcerclebrugge
726,beerschotac,sportingcharleroi
727,sint-truidensevv,rscanderlecht
728,svzulte-waregem,kaseupen
729,sportinglokeren,kvcwesterlo
730,kvkortrijk,kvmechelen
731,liersesk,kaagent
732,rscanderlecht,kvkortrijk
733,kaagent,svzulte-waregem
734,krcgenk,sportinglokeren
735,sportingcharleroi,clubbruggekv
736,kvmechelen,standarddeliege
737,kaseupen,beerschotac
738,kvcwesterlo,liersesk
739,ksvcerclebrugge,sint-truidensevv
740,clubbruggekv,kaseupen
741,standarddeliege,sportingcharleroi
742,sint-truidensevv,krcgenk
743,svzulte-waregem,beerschotac
744,sportinglokeren,kaagent
745,kvkortrijk,kvcwesterlo
746,kvmechelen,ksvcerclebrugge
747,liersesk,rscanderlecht
748,rscanderlecht,kvmechelen
749,kaagent,sint-truidensevv
750,krcgenk,svzulte-waregem
751,beerschotac,clubbruggekv
752,sportingcharleroi,liersesk
753,kaseupen,sportinglokeren
754,kvcwesterlo,standarddeliege
755,ksvcerclebrugge,kvkortrijk
756,oud-heverleeleuven,rscanderlecht
757,raecmons,standarddeliege
758,krcgenk,beerschotac
759,kaagent,ksvcerclebrugge
760,sportinglokeren,svzulte-waregem
761,kvkortrijk,liersesk
762,kvmechelen,sint-truidensevv
763,clubbruggekv,kvcwesterlo
764,clubbruggekv,kaagent
765,rscanderlecht,standarddeliege
766,sint-truidensevv,beerschotac
767,svzulte-waregem,liersesk
