,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
422,-24,-15,-10,-21,20,20,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
423,13,21,14,-12,7,-21,-26,9,0,0,-1,0,0,0,0,0,1,0,0,0,0,2,2
424,23,5,-5,1,-17,-1,-6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0
425,-7,16,14,10,-16,-1,21,-8,0,0,-1,-1,0,-2,0,-2,1,0,0,0,0,2,2
426,-4,-40,-40,-25,-30,-35,-20,-10,0,-1,0,2,-1,1,1,0,-1,-2,0,0,0,2,0
427,-5,0,10,15,5,20,20,-5,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,1
428,1,-7,-16,6,-6,-10,-14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
429,-10,-7,-7,-17,-25,0,1,8,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
430,12,6,6,-14,-3,0,4,10,0,1,0,0,0,-2,0,0,1,0,0,0,0,5,1
431,-14,-4,10,-10,-19,25,23,17,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
432,-4,-15,-15,-25,-30,-10,-10,10,0,-1,0,1,-1,2,1,0,0,-2,0,0,0,0,0
433,7,-4,-14,22,3,7,22,27,0,0,0,0,0,-1,-1,0,0,0,0,1,0,2,3
434,-12,-15,-10,-11,1,-12,-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3
435,-21,-32,-17,13,-34,-5,-8,5,0,0,0,0,0,0,2,1,-1,0,0,0,0,2,2
436,-1,-35,-28,11,6,10,6,-1,0,0,1,1,0,2,0,0,-1,0,0,0,0,4,1
437,24,-4,2,1,-19,-13,-17,-13,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
438,0,25,25,0,0,25,10,20,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,2
439,-10,5,-15,-5,-40,10,-20,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3
440,1,-1,6,22,7,-10,-10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
441,8,-6,10,22,4,-2,11,-17,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,3
442,14,28,25,6,1,-26,-30,4,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,1
443,23,-6,-25,-16,-9,4,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
444,-4,-25,-22,-12,-14,13,3,0,0,0,0,1,-1,0,0,-2,-1,0,0,0,0,4,0
445,0,1,-9,0,20,0,-10,5,0,0,0,0,-1,0,0,-1,0,0,1,1,0,2,1
446,-2,-1,14,-17,-3,3,-12,-32,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,1
447,14,6,2,13,-2,10,-2,6,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
448,17,18,6,-6,-29,-3,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
449,-25,22,15,31,-5,-9,-7,-6,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,3
450,-18,-16,-8,-19,5,11,11,8,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0
451,4,30,26,25,35,0,20,-15,0,1,0,-1,0,-2,-1,-1,0,0,0,0,0,6,0
452,20,5,25,10,35,20,30,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,5,0
453,-20,-23,1,-4,-18,7,-3,-2,0,2,0,1,0,0,0,-2,0,0,0,0,0,1,1
454,6,6,23,5,-16,-6,-10,7,0,0,0,0,0,1,0,0,0,0,-2,0,0,1,0
455,-9,14,19,-18,6,-23,-30,-21,0,0,0,0,0,0,0,0,0,-2,-2,0,0,1,3
456,-25,-10,-11,-4,2,19,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
457,10,-11,-5,0,0,-10,35,-10,0,1,0,1,0,-1,0,0,-1,-2,-1,-1,0,1,2
458,-15,10,15,25,-10,5,25,15,0,-1,0,0,1,0,-1,0,1,0,0,0,0,3,0
459,-2,3,-14,-18,-12,2,8,10,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,1
460,-11,-12,17,11,13,-3,-8,-1,0,0,0,0,0,1,0,0,0,0,-2,0,0,1,0
461,12,3,2,-8,-1,9,4,8,0,1,0,0,0,-2,0,0,0,0,0,0,0,3,2
462,0,11,20,17,-8,-5,-13,-10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
463,0,4,-5,0,-15,-40,0,-40,0,0,0,0,0,-1,0,0,-1,-1,0,-2,0,0,0
464,5,-5,5,-5,25,-10,0,-15,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,1,2
465,10,2,2,-3,1,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
466,16,13,30,22,9,-6,-11,-1,0,0,0,0,0,1,0,0,1,0,-2,0,0,0,2
467,4,-6,-7,-20,-7,12,7,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
468,9,6,3,21,-33,-2,7,-15,0,0,-1,0,0,0,2,-2,0,0,0,0,0,2,0
469,20,35,20,10,-5,25,0,20,0,1,0,-1,0,1,-1,1,0,0,0,0,0,3,3
470,-10,-10,-15,5,-20,-10,0,10,0,-1,0,0,0,-1,-1,1,1,0,0,0,0,2,3
471,-21,-8,2,-12,-4,-7,-3,-4,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1
